Year,total,Sick,Year2,,,,,,,,,,
43800,60149844,472890,12/2019,,,,,,,,,,
43799,60113389,474693,11/2019,,,,,,,,,,
43769,60036829,474339,10/2019,,,,,,,,,,
43738,59927031,478439,9/2019,,,,,,,,,,
43708,59804885,477604,8/2019,,,,,,,,,,
43677,59728294,475250,7/2019,,,,,,,,,,
43646,59670363,472408,6/2019,,,,,,,,,,
43616,59626147,470234,5/2019,,,,,,,,,,
43585,59541671,469025,4/2019,,,,,,,,,,
43555,59564987,470313,3/2019,,,,,,,,,,
43524,59531736,464227,2/2019,,,,,,,,,,
43496,59504523,464413,1/2019,,,,,,,,,,
43465,59438812,465081,12/2018,,,,,,,,,,
43434,59411125,465353,11/2018,,,,,,,,,,
43404,59344318,463091,10/2018,,,,,,,,,,
43373,59256232,464121,9/2018,,,,,,,,,,
43343,59092264,458562,8/2018,,,,,,,,,,
43312,58990950,456656,7/2018,,,,,,,,,,
43281,58937104,454275,6/2018,,,,,,,,,,
43251,58906764,451561,5/2018,,,,,,,,,,
43220,58855134,450106,4/2018,,,,,,,,,,
43190,58857561,450509,3/2018,,,,,,,,,,
43159,58824014,451731,2/2018,,,,,,,,,,
43131,58781878,453117,1/2018,,,,,,,,,,
43100,58725950,456739,12/2017,,,,,,,,,,
43069,58678407,458461,11/2017,,,,,,,,,,
43039,58596880,456558,10/2017,,,,,,,,,,
43008,58315129,453123,9/2017,,,,,,,,,,
42978,58200359,451681,8/2017,,,,,,,,,,
42947,58126056,449572,7/2017,,,,,,,,,,
42916,58320410,449840,6/2017,,,,,,,,,,
42886,58228304,447149,5/2017,,,,,,,,,,
42855,58117678,446932,4/2017,,,,,,,,,,
42825,56958639,436380,3/2017,,,,,,,,,,
42794,56603093,432821,2/2017,,,,,,,,,,
42766,56167099,429820,1/2017,,,,,,,,,,
December 20164,57211059,441814,12/2016,,,,,,,,,,
November 20164,56706000,438791,11/2016,,,,,,,,,,
October 20164,57191062,441896,10/2016,,,,,,,,,,
September 20164,56516583,435966,9/2016,,,,,,,,,,
August 20164,54925524,423458,8/2016,,,,,,,,,,
July 20164,56189594,431081,7/2016,,,,,,,,,,
June 20164,56047470,427850,6/2016,,,,,,,,,,
May 20164,54777147,415576,5/2016,,,,,,,,,,
April 20164,54192769,413782,4/2016,,,,,,,,,,
March 20164,56321027,427022,3/2016,,,,,,,,,,
February 20164,56271962,425555,2/2016,,,,,,,,,,
January 20164,55192166,416214,1/2016,,,,,,,,,,
December 20154,56003836,422733,12/2015,,,,,,,,,,
November 20154,55972245,422288,11/2015,,,,,,,,,,
October 20154,55724939,417955,10/2015,,,,,,,,,,
September 20154,55324055,414055,9/2015,,,,,,,,,,
August 20154,53730482,402525,8/2015,,,,,,,,,,
July 20154,55325344,418473,7/2015,,,,,,,,,,
June 20154,55220732,417814,6/2015,,,,,,,,,,
May 20154,52338959,396723,5/2015,,,,,,,,,,
April 20154,53996119,410124,4/2015,,,,,,,,,,
March 20153,54794079,400707,3/2015,,,,,,,,,,
February 20153,52680956,377007,2/2015,,,,,,,,,,
January 20153,52830184,371244,1/2015,,,,,,,,,,
December 20143,53219621,369199,12/2014,,,,,,,,,,
November 20143,52292351,354274,11/2014,,,,,,,,,,
October 20143,52848782,348807,10/2014,,,,,,,,,,
September 20143,52221071,336445,9/2014,,,,,,,,,,
August 20143,51810759,333452,8/2014,,,,,,,,,,
July 20143,51931178,337150,7/2014,,,,,,,,,,
June 20143,51914462,335925,6/2014,,,,,,,,,,
May 20143,50791972,327994,5/2014,,,,,,,,,,
April 20143,51629487,331860,4/2014,,,,,,,,,,
2012/13,56012096,318669,2012,,,,,,,,,,
2011/12,55525732,293738,2011,,,,,,,,,,
2010/11,55169643,266697,2010,,,,,,,,,,
2009/10,54836561,249463,2009,,,,,,,,,,
2008/09,54310660,232430,2008,,,,,,,,,,
2007/08,54009831,220246,2007,,,,,,,,,,
2006/07,53681098,212794,2006,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
